task_name,scene,instruction,episode_s,attributes,num_subtasks,difficulty_label
BagelOnPlateDishTask (bagel_on_plate_dish.py),ecm_scenes/bagel_plate_bowl.usda,"**default:** Put the bagel on the large plate<br>**vague:** Put the bagel on the dish<br>**referential:** Put the bagel on that<br>**specific:** A large round plate and a red bowl sit behind a bagel. Pick up the bagel and lay it flat on the plate on the right, not in the bowl",60,semantics,1,simple
BagelsInBowlBananasInPlateTask (bagels_in_bowl_bananas_in_plate.py),ecm_scenes/bagel_plate_banana_bowl.usda,"**default:** Pick up the yellow banana and place it flat on the white ceramic plate, then put the two bagels in the bowl<br>**referential:** sort things out<br>**intent:** help me prepare for the breakfast",180,"semantics, sorting, spatial",3,complex
BananaInBowlTask (banana_in_bowl.py),ecm_scenes/rubiks_cube_banana.usda,**default:** Put the banana into the bowl<br>**vague:** Put it into the bowl<br>**specific:** Put the banana at the bottom of the bowl,50,"semantics, spatial",1,simple
BananaInRightBowlTask (banana_in_right_bowl.py),ecm_scenes/banana_two_bowls.usda,"**default:** Put the banana in the bowl on the right<br>**vague:** Put the banana in the bowl<br>**referential:** Put the banana in that bowl<br>**specific:** Two identical red bowls sit side by side behind a banana. Pick up the banana and place it in the bowl on the right, from the robot's point of view",60,"semantics, spatial",1,simple
BananaNextToMugTask (banana_next_to_mug.py),ecm_scenes/banana_bowl_mug_spatial.usda,"**default:** Move the banana next to the blue mug<br>**vague:** Put the banana next to it<br>**referential:** Move the banana over there<br>**specific:** A red bowl sits at the back left and a blue-and-white mug at the back right, with a banana in front. Pick up the banana and set it down right beside the mug, touching or nearly touching it",60,"semantics, spatial",1,simple
BananaOnPlateBreakfastFruitTask (banana_on_plate_breakfast_fruit.py),ecm_scenes/fruit_choice_plate.usda,**default:** Put the banana on the large plate<br>**vague:** Put some fruit on the plate<br>**referential:** Put that on the plate<br>**intent:** I'd like some fruit with my breakfast<br>**specific:** An apple and a banana sit in front of a large round plate. Pick up the banana on the right and lay it flat on the plate,60,semantics,1,simple
BlueBlockInBinTask (blue_block_in_bin.py),ecm_scenes/three_blocks_bin.usda,"**default:** Pick up the blue block and put it in the bin<br>**vague:** Put the block in the bin<br>**referential:** Put that block in the bin<br>**specific:** Three cubes, red, blue and green, sit in a row in front of the grey bin. Pick up the blue cube in the middle and drop it in the bin",60,"color, semantics",1,simple
CeramicMugCupOnPlateTask (ceramic_mug_cup_on_plate.py),ecm_scenes/cups_clay_plate.usda,"**default:** Put the blue ceramic mug on the clay plate<br>**vague:** Put the cup on the plate<br>**referential:** Put that cup on the plate<br>**specific:** A red mug, a blue-and-white ceramic mug and a white ribbed mug sit in a row in front of a clay plate. Pick up the blue-and-white mug in the middle and set it down upright on the plate",60,semantics,1,simple
KetchupSauceInBinTask (ketchup_sauce_in_bin.py),ecm_scenes/sauces_bin.usda,"**default:** Pick up the ketchup bottle and put it in the bin<br>**vague:** Put the sauce in the bin<br>**referential:** Put that bottle in the bin<br>**intent:** I need something for my fries, put it in the bin for me<br>**specific:** Three squeeze bottles sit in a row: red ketchup, yellow mustard and brown barbecue sauce. Pick up the red ketchup bottle on the left and drop it in the grey bin",60,"semantics, color",1,simple
LargestWhiteBottleInBinTask (largest_white_bottle_in_bin.py),ecm_scenes/three_white_bottles_bin.usda,"**default:** Pick up the largest white bottle and put it in the bin<br>**vague:** Put the white bottle in the bin<br>**referential:** Put that bottle in the bin<br>**specific:** Three white plastic bottles of increasing size stand in a row. Pick up the tallest one, on the left, and drop it in the grey bin",60,"semantics, size",1,simple
